Section Order,Section Name,Section Description,Section Reference,Section Tags,Entry Order,Entry Question,Entry Name,Entry Description,Entry Reference,Entry Tags,Response,Entry Response Type,Response Label,Enum Values,Cell Reference
10,Marketo,,,,2,Marketo Demo,,,,,"<p>Here is a recording that a Hubspot customer sent to a Corporate rep.&nbsp;</p>
<p>The recording shows a full Marketo Demo. Make sure that you UGJ and think twice before talking about this publicly as we may get in trouble for that.</p>
<p><a href=""/asset/143442?token=hmUM31fhcbGFYgqab5%2BdWfRaet1usxv8rVMKCGcSat4%3D"">Marketo Demo October 2017.mp4</a></p>
<p>&nbsp;</p>",string,,,
10,Marketo,,,,3,Marketo Email Scripting,,,,,"<p><a href=""http://developers.marketo.com/email-scripting/"">Guide on Marketo's email scripting</a>.
</p>
<p>Source: &nbsp;<a class=""in-cell-link"" href=""https://wiki.hubspotcentral.com/display/Sales/Ramp-Up+Block+4+-+Thesis+Project+-+Solving+for+the+Customer+with+Custom+Solutions+and+APIs"">Wiki SE Ramp Up BLOCK 4 Checklist</a><br>
</p>",string,,,
10,Marketo,,,,4,Does Marketo provide free trials?,,,,,"<p>I've learnt from a prospect that Marketo will allow prospects to ""play"" with their system with them on the phone on a screen share, most likely inside of one of their demo portals.&nbsp;According to this prospect, he was doing some things and the Marketo rep was helping, taking control and doing some other things on the fly during the call.
</p>
<p><br>
</p>
<p>This is as far as we know regarding Marketo not providing trials.
</p>",string,,,
10,Marketo,,,,5,What do Smart Lists and Workflows look like in Marketo?,,,,,"<p>Just some screenshots pulled off a call. First two images&nbsp;are of Smart Lists and the third image is of their version of Workflows.&nbsp;</p>
<p><img src=""/asset/105627?token=6Ajt5gI2PFF6OjnRiV%2B5YOMCP7nDXUu2ANhnxa2mtfw%3D""><img src=""/asset/105628?token=JqTX4asBw%2Bwy8IQtOiys3C%2Fbfk4dBYdvKvufQvB7kD8%3D""></p>
<p><img src=""/asset/105629?token=z5zeu4obI7Msy%2FYdtZMvdFN0x%2F75Z4Axwm9POT%2FJ6hk%3D""></p>
<p>&nbsp;</p>
<p>Source:&nbsp;<span style=""background-color: #ffffff"">Anmol Mehta</span></p>",string,,,
10,Marketo,,,,6,2017 Marketo Conference Recap,,,,,"<p>Zoom recording: <a href=""https://hubspot.zoom.us/recording/play/7zUgJsOHWgSf1Sjct04Xs2pGSFlvQQxTGAuBmgUPKZpwtzugt63YDCJWZFQnpKBK"">https://hubspot.zoom.us/recording/play/7zUgJsOHWgSf1Sjct04Xs2pGSFlvQQxTGAuBmgUPKZpwtzugt63YDCJWZFQnpKBK</a>
</p>
<p>Powerpoint Presentation:<br><a href=""https://drive.google.com/file/d/0B14andWKmZUPbkZORW9CbXAyd0E/view?ts=5910966e"">https://drive.google.com/file/d/0B14andWKmZUPbkZORW9CbXAyd0E/view?ts=5910966e</a>
</p>",string,,,
10,Marketo,,,,7,How do I sell against specific Marketo features?,,,,,"<p>Marketo’s “Big 4""
</p>
<ul>
	<li><u>Multi-Touch Attribution Reporting with Revenue</u>
	<ul>
		<li>Marketo has this very cool feature that associates a dollar value with several touches throughout their sales cycle</li>
		<li>HubSpot looks at attribution differently - provides a score (1-100) based on the number of contacts, MQLs, SQLs, Customers, etc.&nbsp;by each source, page, etc.</li>
		<li>HubSpot builds these reports for you based on the metrics you’re looking to surface (build report from scratch)
		<ul>
			<li>Non-invasive Q's to ask
			<ul>
				<li><i>Has your Marketo rep shown you how to configure this?</i>
				<ul>
					<li><i>&nbsp; &nbsp; <em>This may be a great cool, but complicated to configure - Hubspot builds the reports for you, saving time in the process.</em></i></li>
				</ul></li>
			</ul></li>
		</ul></li>
	</ul></li>
	<li><u>Content Tagging</u>
	<ul>
		<li>Marketo has a feature that allows you to tag content offerings rather than Contacts, which can be useful for individuals with TONs of content. This tool could save them from creating an automation rule for each content offering.</li>
		<li>HubSpot tags on the contact object, not individual pieces of content
		<ul>
			<li>Using workflows we can automatically tag a contact based on what they’re downloading and other marketing activity</li>
			<li><i>How many pieces of content do you have today? (less than 50…)</i></li>
			<li>Think of time spent building workflows.. Realistically building 50 workflows for each piece of content could take under an hour... Do you have an hour to invest in your content to contact tagging?</li>
		</ul></li>
	</ul></li>
	<li><u>Multi-Vertical Lead Scoring Models</u>
	<ul>
		<li>Marketo allows you to build several lead scoring models, HubSpot only offers 1 (based on positive and negative attributes)</li>
		<li>HubSpot simplifies lead scoring using positive and negative attributes - assign a numerical value to contacts that perform certain actions or have particular value associated with them (industry, location, etc.)</li>
		<li>You can combine lead score with other attributes to influence your segmentation and automation campaigns
		<ul>
			<li>Lead score + industry</li>
			<li>Lead score + product category
			<ul>
				<li><i>Increment another numeric contact property value</i></li>
			</ul></li>
			<li>Lead score + app engagement
			<ul>
				<li>Use the above to fuel automation</li>
			</ul></li>
		</ul></li>
		<li><i>Has your Marketo rep shown you how to configure this?</i></li>
		<li><i>How many lead scoring models to you envision needing?</i></li>
	</ul></li>
	<li><u>Campaign tokens for automation cloning</u>
	<ul>
		<li>You can clone automation campaigns within HubSpot and only minor edits to email content, delays, goals, etc. would be necessary</li>
		<li>Change all of your assets (Marketo is the only one that offers this feature, if this is ALL you want, go with Marketo)</li>
	</ul></li>
</ul>
<p>We always try to avoid a feature battle when speaking on Competitive deals, but sometimes our prospects have been coached by Marketo reps during their evaluation and we need to ensure we have a plan of attack when these things come up. Usually if someone NEEDS all 4 of the features above, they should go with Marketo. But 1-2 out of 4 we can usually win by simply explaining how HubSpot looks at tools like attribution and lead scoring, while leveraging intuitiveness, support and onboarding (all things Marketo lacks).
</p>
<p>When people are set in their ways, you can always ask:
</p>
<p>""Great, what else is important to your Marketing efforts?""
</p>",string,,,
10,Marketo,,,,8,Marketo SSL Pricing,,,,,"<p>1. The pricing we have suggests they charge $1,200/year for SSL
</p>
<p>2. It takes 3+ weeks to setup (at which time you may be losing traffic and leads due to the ""not secure"" warning)
</p>
<p>Source: <a href=""https://nation.marketo.com/docs/DOC-5168-upcoming-changes-to-the-chrome-browser"">https://nation.marketo.com/docs/DOC-5168-upcoming-changes-to-the-chrome-browser</a><br>
</p>",string,,,
10,Marketo,,,,9,"Marketo allows me to easily pass our custom cookie into a hidden form field with every submission, how does HubSpot accomplish this?",,,,,"<p>I recently had a prospect explain a very niche Marketo feature to me that I had not heard of before, but it was very important to their business. After explaining how HubSpot cookies web visitors, he still insisted that he needs to pass his custom cookie through within a hidden form field&nbsp;with every form submission. It was ultimately for database segmentation purposes.
</p>
<p>Marketo has a very advanced 'set a hidden form field' feature that allows marketers to select 'cookie' as a hidden parameter:&nbsp;<a href=""http://docs.marketo.com/display/public/DOCS/Set+a+Hidden+Form+Field+Value#SetaHiddenFormFieldValue-CookieValue"">http://docs.marketo.com/display/public/DOCS/Set+a+Hidden+Form+Field+Value#SetaHiddenFormFieldValue-CookieValue</a>
</p>
<p>HubSpot does not have a feature like this, but we can still accomplish their goals by customizing the form embed code:&nbsp;<a href=""https://developers.hubspot.com/docs/methods/forms/advanced_form_options"">https://developers.hubspot.com/docs/methods/forms/advanced_form_options</a>
</p>
<p>In this situation, you'd write some Javascript that captures the cookie and passes that value through as a hidden form field:&nbsp;<a href=""https://www.w3schools.com/js/js_cookies.asp"">https://www.w3schools.com/js/js_cookies.asp</a><span class=""redactor-invisible-space""></span>
</p>
<p><span class=""redactor-invisible-space"">Obviously not as simple as the Marketo solution, but still good to have in our back pocket in case this comes up on your calls.</span>
</p>",string,,,
10,Marketo,,,,10,Marketo Competitive Doc December 2017,,,,,"<p><a href=""/asset/meUfg31AgFd1W7Kxfd6YKb?token=bsG1HxoQwZwxbIpFzAN6jndhtfx6SaUx4pAmehtaaOs%3D"">HubSpot Competitive Q's.xls</a>
</p>
<p>This document appears on the sales floor at November 2017 end of month. Although there are some layers of truth, there is a lot of FUD which we've combatted in the answers column.
</p>
<p>Source: Sales Floor / Answers by Sarah
</p>",string,,,
10,Marketo,,,,11,Marketo vs. HubSpot (From a Marketo Rep),,,,,"<p>Here is a comparison spreadsheet between HubSpot and Marketo that a Marketo rep sent to a prospect, who then shared it with us.</p>
<p>Take a look so you know what to expect in a&nbsp;competitive situation and potentially address these points before they come up.</p>
<p>&nbsp;</p>
<p><a href=""/asset/rJBGMfkdzbv12nnP1ocYuf?token=GqqozolxezQSTjn5YJQeNRGE6eP%2F4UaZfxxDPNNLQDg%3D"">Marketo vs Hubspot Side by Side.xlsm</a></p>",string,,,
11,Microsoft Dynamics Marketing,,,,1,What is the new Microsoft Dynamics Marketing?,Microsoft Dynamics Marketing - New,,,,"<p style=""background-color: #ffffff""><u><strong>Update Apr 2018:</strong></u></p>
<p style=""background-color: #ffffff"">Microsoft canned Dynamics Marketing and advised their customers to use Adobe Cloud... meanwhile they were rebuilding the Dynamics Marketing Platform. There is no Live Demo as such but I have acquired this PDF of what is to come see below:</p>
<p style=""background-color: #ffffff""><a href=""/asset/pbiBnHa7TtCzxE4mbrptJZ?token=Q9edqJw2c5MD6VBVc0XDmXRWQ6tH2ZMeYXgo%2BAT%2BZko%3D"">MS Dynamics D365 for Marketing (1).pdf</a></p>
<p style=""background-color: #ffffff"">&nbsp;</p>",string,Dynamics Marketing,,
